Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.023094566,-0.000624366,0.0924263074305092,0,0,0,0.870994544286568,0.000924360334406296,1.83790425775432E-06,-6.57E-05,0.000965356496722674,4.19061203028733E-07,0.00166592475388463,0,0,0,0,0,0,package://M3/meshes/base_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://M3/meshes/base_link.STL,,中层固板-2;电机转固件-2;电机转固件-1;520电机-1;前轮组件安装板-1;520电机-2;520电机-4;2×3电池组-1;520电机-3;下壳车体-1;DC充电接口-1;开关-1;深度相机总汇-1/前饰钣金-1;深度相机总汇-1/L型阻尼器-1;深度相机总汇-1/L型阻尼器-2;MS200_X1_20221110-1;X5上部钣金-1;MS200_X1_20221110-3;电机转固件-3;后轮组件悬挂板-2;后轮组件悬挂板-1;摆式悬挂轴承座组件-2/轴承座-1;摆式悬挂轴承座组件-1/轴承座-1;电池托板-1;电机转固件-4;0.5NM阻尼铰链1-1;0.5NM阻尼铰链2-1;X5六麦打印罩-圆-1;7寸屏支架左-1;7寸屏支架右-1;X5-7寸屏组件-1/X5-屏幕钣金2-1;X5-7寸屏组件-1/X5-屏幕钣金1-1;X5-7寸屏组件-1/X5-7寸屏-1;大白-六自由度机械臂-1/铜柱M3-32+6-17;大白-六自由度机械臂-1/M3-6+6单通-1;大白-六自由度机械臂-1/M3-6+6单通-4;大白-六自由度机械臂-1/铜柱M3-32+6-5;大白-六自由度机械臂-1/M3-6+6单通-2;大白-六自由度机械臂-1/铜柱M3-32+6-19;大白-六自由度机械臂-1/M3-6+6单通-3;大白-六自由度机械臂-1/云台外板-1;大白-六自由度机械臂-1/m3-7铜柱-9;大白-六自由度机械臂-1/云台外板-2;大白-六自由度机械臂-1/spring lock washers--normal type gb-6;大白-六自由度机械臂-1/cross recessed cheese head screws gb-7;大白-六自由度机械臂-1/m3-7铜柱-1;大白-六自由度机械臂-1/spring lock washers--normal type gb-8;大白-六自由度机械臂-1/cross recessed cheese head screws gb-8;大白-六自由度机械臂-1/m3-7铜柱-10;大白-六自由度机械臂-1/spring lock washers--normal type gb-9;大白-六自由度机械臂-1/cross recessed cheese head screws gb-10;大白-六自由度机械臂-1/6810zz-1;大白-六自由度机械臂-1/15KGduopan-5;大白-六自由度机械臂-1/铜柱M3-32+6-18;大白-六自由度机械臂-1/m3-7铜柱-6;大白-六自由度机械臂-1/spring lock washers--normal type gb-7;大白-六自由度机械臂-1/cross recessed cheese head screws gb-9;大白-六自由度机械臂-1/15KG舵机手搓图-5;对侧雷达钣金-2;对侧雷达钣金-1;零件1-1;零件2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm1,2.13576742485247E-05,-2.29E-05,0.0108850983929158,0,0,0,0.0244386203628613,4.13079555955957E-06,-1.73E-08,-1.40E-11,3.52401933966849E-06,-4.29E-15,6.04483581225878E-06,0,0,0,0,0,0,package://M3/meshes/arm1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://M3/meshes/arm1.STL,,大白-六自由度机械臂-1/spring lock washers--normal type gb-32;大白-六自由度机械臂-1/cross recessed cheese head screws type a gb-3;大白-六自由度机械臂-1/云台内板-2;大白-六自由度机械臂-1/15kg2haogudingjia-1;大白-六自由度机械臂-1/spring lock washers--normal type gb-10;大白-六自由度机械臂-1/cross recessed cheese head screws gb-11;大白-六自由度机械臂-1/spring lock washers--normal type gb-13;大白-六自由度机械臂-1/cross recessed cheese head screws gb-14;大白-六自由度机械臂-1/cross recessed cheese head screws type a gb-2;大白-六自由度机械臂-1/spring lock washers--normal type gb-30;大白-六自由度机械臂-1/spring lock washers--normal type gb-31;大白-六自由度机械臂-1/cross recessed cheese head screws type a gb-5;大白-六自由度机械臂-1/cross recessed cheese head screws type a gb-4;大白-六自由度机械臂-1/spring lock washers--normal type gb-33;大白-六自由度机械臂-1/cross recessed cheese head screws gb-12;大白-六自由度机械臂-1/spring lock washers--normal type gb-11;大白-六自由度机械臂-1/cross recessed cheese head screws gb-13;大白-六自由度机械臂-1/spring lock washers--normal type gb-12;大白-六自由度机械臂-1/云台内板-1;大白-六自由度机械臂-1/cross recessed cheese head screws type a gb-6;大白-六自由度机械臂-1/spring lock washers--normal type gb-38;大白-六自由度机械臂-1/cross recessed cheese head screws type a gb-9;大白-六自由度机械臂-1/spring lock washers--normal type gb-35;大白-六自由度机械臂-1/cross recessed cheese head screws type a gb-7;大白-六自由度机械臂-1/spring lock washers--normal type gb-37;大白-六自由度机械臂-1/cross recessed cheese head screws type a gb-8;大白-六自由度机械臂-1/spring lock washers--normal type gb-36;大白-六自由度机械臂-1/m2-7铜柱-1;大白-六自由度机械臂-1/15KGduopan-6;大白-六自由度机械臂-1/spring lock washers--normal type gb-45;大白-六自由度机械臂-1/cross recessed cheese head screws gb-65;大白-六自由度机械臂-1/spring lock washers--normal type gb-46;大白-六自由度机械臂-1/cross recessed cheese head screws gb-68;大白-六自由度机械臂-1/spring lock washers--normal type gb-43;大白-六自由度机械臂-1/cross recessed cheese head screws gb-66;大白-六自由度机械臂-1/spring lock washers--normal type gb-44;大白-六自由度机械臂-1/cross recessed cheese head screws gb-67;大白-六自由度机械臂-1/cross recessed cheese head screws gb-64;大白-六自由度机械臂-1/spring lock washers--normal type gb-42;大白-六自由度机械臂-1/cross recessed cheese head screws gb-62;大白-六自由度机械臂-1/spring lock washers--normal type gb-41;大白-六自由度机械臂-1/15kg从动盘-5;大白-六自由度机械臂-1/cross recessed cheese head screws gb-63;大白-六自由度机械臂-1/spring lock washers--normal type gb-40;大白-六自由度机械臂-1/cross recessed cheese head screws gb-61;大白-六自由度机械臂-1/spring lock washers--normal type gb-39;大白-六自由度机械臂-1/MF106zz-5,arm1,X5arm1,arm1_Joint,revolute,0.033617,-1.24E-05,0.185,6.3751E-05,0,0.028395,base_link,0,0,1,100,1,-1.5708,1.5708,,,,,,,,
arm2,-0.000602027,-9.28E-05,0.0264032863094033,0,0,0,0.061498670238648,2.10648493212753E-05,1.83881276274714E-11,-1.40E-11,1.64229081716352E-05,3.60299486579141E-08,9.72287810088419E-06,0,0,0,0,0,0,package://M3/meshes/arm2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://M3/meshes/arm2.STL,,大白-六自由度机械臂-1/15Kg舵机固定-7;大白-六自由度机械臂-1/15kgduojilagan-1;大白-六自由度机械臂-1/spring lock washers--normal type gb-14;大白-六自由度机械臂-1/cross recessed cheese head screws gb-19;大白-六自由度机械臂-1/spring lock washers--normal type gb-15;大白-六自由度机械臂-1/cross recessed cheese head screws gb-20;大白-六自由度机械臂-1/spring lock washers--normal type gb-17;大白-六自由度机械臂-1/cross recessed cheese head screws gb-22;大白-六自由度机械臂-1/spring lock washers--normal type gb-16;大白-六自由度机械臂-1/cross recessed cheese head screws gb-21;大白-六自由度机械臂-1/15KGduopan-2;大白-六自由度机械臂-1/cross recessed cheese head screws gb-71;大白-六自由度机械臂-1/spring lock washers--normal type gb-53;大白-六自由度机械臂-1/cross recessed cheese head screws gb-72;大白-六自由度机械臂-1/spring lock washers--normal type gb-51;大白-六自由度机械臂-1/cross recessed cheese head screws gb-69;大白-六自由度机械臂-1/spring lock washers--normal type gb-54;大白-六自由度机械臂-1/cross recessed cheese head screws gb-70;大白-六自由度机械臂-1/spring lock washers--normal type gb-52;大白-六自由度机械臂-1/15kg从动盘-3;大白-六自由度机械臂-1/cross recessed cheese head screws gb-74;大白-六自由度机械臂-1/spring lock washers--normal type gb-48;大白-六自由度机械臂-1/cross recessed cheese head screws gb-73;大白-六自由度机械臂-1/spring lock washers--normal type gb-49;大白-六自由度机械臂-1/cross recessed cheese head screws gb-76;大白-六自由度机械臂-1/spring lock washers--normal type gb-50;大白-六自由度机械臂-1/cross recessed cheese head screws gb-75;大白-六自由度机械臂-1/spring lock washers--normal type gb-47;大白-六自由度机械臂-1/MF106zz-2;大白-六自由度机械臂-1/15KG舵机手搓图-1,arm2,X5arm2,arm2_Joint,revolute,-0.0021522,6.1185E-05,0.033,-6.37E-05,0,-0.028422,arm1,0,-1,-6.37E-05,100,1,-1.5708,1.5708,,,,,,,,
arm3,-0.000604374,-7.46E-05,0.0258332880744843,0,0,0,0.0614986702381331,2.10614227624559E-05,-1.26E-07,9.50458735304178E-10,1.64263399723813E-05,3.55900353840793E-08,9.72287285883381E-06,0,0,0,0,0,0,package://M3/meshes/arm3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://M3/meshes/arm3.STL,,大白-六自由度机械臂-1/15Kg舵机固定-5;大白-六自由度机械臂-1/spring lock washers--normal type gb-19;大白-六自由度机械臂-1/cross recessed cheese head screws gb-23;大白-六自由度机械臂-1/spring lock washers--normal type gb-18;大白-六自由度机械臂-1/cross recessed cheese head screws gb-25;大白-六自由度机械臂-1/spring lock washers--normal type gb-20;大白-六自由度机械臂-1/cross recessed cheese head screws gb-24;大白-六自由度机械臂-1/spring lock washers--normal type gb-21;大白-六自由度机械臂-1/cross recessed cheese head screws gb-26;大白-六自由度机械臂-1/15kgduojilagan-4;大白-六自由度机械臂-1/cross recessed cheese head screws gb-84;大白-六自由度机械臂-1/cross recessed cheese head screws gb-82;大白-六自由度机械臂-1/spring lock washers--normal type gb-58;大白-六自由度机械臂-1/spring lock washers--normal type gb-57;大白-六自由度机械臂-1/cross recessed cheese head screws gb-83;大白-六自由度机械臂-1/spring lock washers--normal type gb-56;大白-六自由度机械臂-1/cross recessed cheese head screws gb-85;大白-六自由度机械臂-1/spring lock washers--normal type gb-55;大白-六自由度机械臂-1/15KGduopan-3;大白-六自由度机械臂-1/15kg从动盘-4;大白-六自由度机械臂-1/MF106zz-3;大白-六自由度机械臂-1/cross recessed cheese head screws gb-78;大白-六自由度机械臂-1/spring lock washers--normal type gb-61;大白-六自由度机械臂-1/cross recessed cheese head screws gb-79;大白-六自由度机械臂-1/spring lock washers--normal type gb-62;大白-六自由度机械臂-1/spring lock washers--normal type gb-60;大白-六自由度机械臂-1/cross recessed cheese head screws gb-77;大白-六自由度机械臂-1/cross recessed cheese head screws gb-80;大白-六自由度机械臂-1/spring lock washers--normal type gb-59;大白-六自由度机械臂-1/15KG舵机手搓图-2,arm3,X5arm3,arm3_Joint,revolute,0,0,0.08285,6.3702E-05,0,0.027102,arm2,-0.027098,-0.99963,0,100,1,-1.5708,1.5708,,,,,,,,
arm4,0.00266200549544014,-5.48E-05,0.0318372301190443,0,0,0,0.0796731880981648,1.74813997707965E-05,7.13964256475848E-11,-3.69E-07,1.97458440715167E-05,3.56144432379185E-08,1.24210495582304E-05,0,0,0,0,0,0,package://M3/meshes/arm4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://M3/meshes/arm4.STL,,大白-六自由度机械臂-1/15Kg舵机固定-6;大白-六自由度机械臂-1/15KG5guding-1;大白-六自由度机械臂-1/cross recessed cheese head screws gb-32;大白-六自由度机械臂-1/spring lock washers--normal type gb-25;大白-六自由度机械臂-1/spring lock washers--normal type gb-24;大白-六自由度机械臂-1/cross recessed cheese head screws gb-31;大白-六自由度机械臂-1/spring lock washers--normal type gb-23;大白-六自由度机械臂-1/cross recessed cheese head screws gb-30;大白-六自由度机械臂-1/spring lock washers--normal type gb-22;大白-六自由度机械臂-1/cross recessed cheese head screws gb-29;大白-六自由度机械臂-1/机械臂爪子-1/15KG舵盘-1;大白-六自由度机械臂-1/15KG舵机手搓图-3;大白-六自由度机械臂-1/15KG舵机手搓图-4,arm4,X5arm4,arm4_Joiint,revolute,0,0,0.08285,0,0,-0.027075,arm3,-2.64E-05,-1,0,100,1,-1.5708,1.5708,,,,,,,,
arm5,0.0185860770163253,-0.002470433,0.02651885056664,0,0,0,0.0410487746889131,5.48142441634619E-06,-1.69E-08,-2.35E-08,1.91426924767358E-06,6.10349739295658E-13,5.25321280573642E-06,0,0,0,0,0,0,package://M3/meshes/arm5.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://M3/meshes/arm5.STL,,大白-六自由度机械臂-1/机械臂爪子-1/机械爪连接1-1;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-22;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-23;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-20;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-21;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-19;大白-六自由度机械臂-1/机械臂爪子-1/隔离柱7x3x7-2;大白-六自由度机械臂-1/机械臂爪子-1/隔离柱7x3x7-1;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-18;大白-六自由度机械臂-1/机械臂爪子-1/舵机-R003-1;大白-六自由度机械臂-1/机械臂爪子-1/M3x10-3;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-8;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-9;大白-六自由度机械臂-1/机械臂爪子-1/M3x10-4;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-10;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-7;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-2;大白-六自由度机械臂-1/机械臂爪子-1/M3x10-2;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-4;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-5;大白-六自由度机械臂-1/机械臂爪子-1/M3x10-1;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-1,arm5,X5arm5,arm5_Joint,revolute,0.00057305,0,0.074815,0,0,0,arm4,0,-1,0,100,1,-1.5708,3.1416,,,,,,,,
rlink1,0.00808925422025075,0.000355297443366931,-0.000464636,0,0,0,0.00469661998528202,1.02155544192725E-07,1.52484505407808E-08,-5.47E-14,4.52970831763651E-07,2.17247345042744E-13,5.45544786553635E-07,0,0,0,0,0,0,package://M3/meshes/rlink1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://M3/meshes/rlink1.STL,,大白-六自由度机械臂-1/机械臂爪子-1/PWM主动臂-2;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws type a gb-2;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws type a gb-3;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws type a gb-1;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws type a gb-4;大白-六自由度机械臂-1/机械臂爪子-1/a金属舵盘-1;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-12;大白-六自由度机械臂-1/机械臂爪子-1/M3防松螺母-1,rlink1,X5rlink1,rlink1_Joint,revolute,-0.0047503,-0.012625,0.029275,1.5708,-0.60409,-1.5708,arm5,0,0,-1,100,1,-1.54,0,,,,,,,,
rlink2,0.0225651191673617,0.00616269153903409,-0.005,0,0,0,0.0061448729710299,8.70635496412126E-08,-2.42E-07,-4.83E-21,1.49816948769928E-06,-8.06E-22,1.57601572788395E-06,0,0,0,0,0,0,package://M3/meshes/rlink2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://M3/meshes/rlink2.STL,,大白-六自由度机械臂-1/机械臂爪子-1/PWM机械爪爪子-7;大白-六自由度机械臂-1/机械臂爪子-1/PWM机械爪爪子-8,rlink2,X5rlink2,rlink2_Joint,continuous,0.03,0,0.001,0,0,0.9667,rlink1,0,0,1,,,,,,,,,,,,
llink1,0.00884602685100822,-0.000341813,-0.000169456,0,0,0,0.00426700564861881,8.84336001135263E-08,-1.31E-08,2.18756702456485E-14,4.55511896537778E-07,1.2193651328645E-14,5.36665215268909E-07,0,0,0,0,0,0,package://M3/meshes/llink1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://M3/meshes/llink1.STL,,大白-六自由度机械臂-1/机械臂爪子-1/PWM从动臂-2;大白-六自由度机械臂-1/机械臂爪子-1/M3防松螺母-7;大白-六自由度机械臂-1/机械臂爪子-1/平面轴承-1;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed countersunk head screws gb1-1;大白-六自由度机械臂-1/机械臂爪子-1/平面轴承-2;大白-六自由度机械臂-1/机械臂爪子-1/M3防松螺母-6;大白-六自由度机械臂-1/机械臂爪子-1/cross recessed cheese head screws gb-17,llink1,X5llink1,llink1_Joint,continuous,-0.0044997,0.012375,0.029275,-1.5708,-0.60318,1.5708,arm5,0,0,1,,,,,,,,,,,,
llink2,0.0226281369502883,-0.005927123,-0.00525,0,0,0,0.0061448729710299,8.21725042549684E-08,2.27196496174757E-07,-9.08E-21,1.50306053308553E-06,1.34351902937085E-21,1.57601572788395E-06,0,0,0,0,0,0,package://M3/meshes/llink2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://M3/meshes/llink2.STL,,大白-六自由度机械臂-1/机械臂爪子-1/PWM机械爪爪子-1;大白-六自由度机械臂-1/机械臂爪子-1/PWM机械爪爪子-5,llink2,X5llink2,llink2_Joint,continuous,0.03,0,0.00125,0,0,-0.96762,llink1,0,0,1,,,,,,,,,,,,
